,Datetime,Text
75,2021-12-27 05:28:56+00:00,"@republic Now ppl are safe 
They are unsafe only during Durga PUJA and 
They die only in Modiji rallies"
76,2021-12-27 05:14:32+00:00,"The Bengal govt put so many restrictions on gatherings and celebrations during Durga Puja, but couldn't do the same during Christmas. Couldn't or didn't? 

https://t.co/kdrL6U1CSs"
77,2021-12-27 04:24:33+00:00,"When is Durga Puja in 2022: Date, significance, puja vidhi and history https://t.co/nAYGtQdUOu"
78,2021-12-27 03:47:39+00:00,"@MrrMukherjee Can't be Durga Puja (time is over) 
Can't be Bangla Mela (it's in Jan) 

I give up 😁"
79,2021-12-27 03:47:35+00:00,@ShanDas26950489 @AMITPAT01789385 @MNaikwade @BefittingFacts Koi Bhi Party Durga Puja ke Khilaaf nahi ho sakta hai. What is Covid Protocols ? Wearing Mask Carrying Sanitizer and having distance between 2 persons are Normal now days.
80,2021-12-27 03:46:08+00:00,"@AMITPAT01789385 @MNaikwade @ShanDas26950489 @BefittingFacts 2021 Mein Durga Puja Ke Time Vaccine Nahi Tha ? 
Bol kya rahe ho woh pata hai tumko ? 
State mein Hindu majority hai Aur har ek Hindu Festival mein bheed hoga ye Normal hai ! 
Aur Durga Puja is an Emotion for Bengalis !"
81,2021-12-27 03:18:24+00:00,"@Shara_Defender Durga Puja

SPLENDID PLAYER SHAMITA"
82,2021-12-27 02:28:39+00:00,"@TempPritam17 @MNaikwade @ShanDas26950489 @BefittingFacts Bhai Durga puja ke tym pe na vaccine tha aur na hi Corona pe control..
Abhi koi pabandi nhi hai kisi bhi festival pe ..hr party rally krvrhi..
Itna nafrat thik nhi"
83,2021-12-26 19:14:02+00:00,"@MehHarshil That day is not far away when Bengali Chri$tians will be celebrating Durga Puja under the banner of ""Jesus Durga Puja Committee""... 😂😂"
84,2021-12-26 18:48:52+00:00,"Christmas in India:

Papua New Guinea denied permission for Durga Puja Calling Durga Puja a form of “idol worshipping”, the Papua New Guinea administration said it is morally inappropriate and against Christian values. https://t.co/ATiOzmBSyy"
85,2021-12-26 18:23:29+00:00,"@oyevivekk @sharmaAvl How Innocent Bengalis are,the Festival of Durga Puja Happens on Sharadiya Month in Bengal because Shri Ram Worshipped Devi for Power on that Particular Tithi."
86,2021-12-26 18:05:38+00:00,but why no one  made a petition to the court  to stop the gathering for christmas as calcutta HC banned durga puja celebration and gatering by public https://t.co/ooYP5s8Qyu
87,2021-12-26 17:40:20+00:00,"@Tamal0401 Sedition is a) Not a public hazard and b) a subjective concept. Health, on the other hand, is science. The way Durga Puja was conducted last year and how some countries reduce pollution by curbing validity of cars beyond a certain no of years is a good example of how policy works"
88,2021-12-26 17:38:20+00:00,"The #saree has draped many #women- #goddess #DurgaPuja who defeated the demons, #RaniLakshmiBai who led a military during a war. A saree makes me feel so graceful yet so powerful. https://t.co/Ko6pVZCdi4"
89,2021-12-26 16:19:39+00:00,"@Tamal0401 @ishadrita Well if the HC could stop public from entering Durga Puja pandals, they could make Park Street a no entry zone too."
90,2021-12-26 16:02:21+00:00,"@krgaurav98 @AndColorPockeT So apt. The vibes in Durga Puja , chath beats every other festival in my town ."
91,2021-12-26 15:53:25+00:00,@KolleoIsBack Where due to Covid protocol most of the picnic spots are being called closed by State even at Durga puja pandal was being organized as per covid protocol. They why such mess  at Christmas celebration without no protocol?
92,2021-12-26 15:23:40+00:00,@somyaluthra24 same is done during durga puja
93,2021-12-26 15:22:30+00:00,@BrandonLBradfor India has a lot of problems!! But holidays isn't one of them 😍 and in some states you get mini vacation during festivals like Durga Puja vacation could be upto a week in West Bengal. People who live there visits different pandals and enjoy the vacation.
94,2021-12-26 13:15:53+00:00,West Bengal govt did same in Durga Puja time....which is our biggest festival. In many 'other' places which I cannot name pandals were empty this time. No wave happened in Kolkata after the Durga Puja. Virtue signalling is an exclusively affluent privileged class thing. https://t.co/BB4CIqwVWN
95,2021-12-26 13:13:16+00:00,"@slowgrowl Went through her post and comments. So satisfying to see them burn😀

However, on serious note we can still practice our inclusive culture following covid protocol. The kind of gatherings we have witnessed yesterday or during Durga Puja was scary. May we all stay safe."
96,2021-12-26 13:13:04+00:00,Intangible Cultural Heritage- Durga Puja joins UNESCO's list Heritage list. Indian Knowledge and Culture spreading across the world. Congrats to people of Bengal  @MinOfCultureGoI https://t.co/TxQpZByOir
97,2021-12-26 13:10:18+00:00,Durga Puja inscribed on the UNESCO Representative List of the Intangible Cultural Heritage of Humanity https://t.co/BZcjEwThOh
98,2021-12-26 12:57:17+00:00,No need to intellectualise so much. Let people celebrate what they want to. No need to shame people for people wanting to celebrate Xmas.  And ofcourse a festival marketed so well will have more appeal. I know many Muslims in Kolkata who r mad about Durga Puja. @NonsensicalNemo https://t.co/Mg7tCI1hjS
99,2021-12-26 11:39:09+00:00,@aajtak There is nothing wrong in this... but i have not read any article where a Christian celebrating durga puja.....
100,2021-12-26 11:27:59+00:00,@piya_unturned Not sure about Christmas in Indian context but I'm sure many suffer from Durgapuja Blues and Diwali Blues 🙁
101,2021-12-26 11:16:26+00:00,"@somyaluthra24 Have you heard of Hindu festivals - 
Diwali Holi Raksha Bandhan 
Ganesh Chaturthi Durga Puja 
Janmashtami….
Have you seen people joyously participating ? 
Self goal"
102,2021-12-26 11:03:06+00:00,"To point a few, 

I witnessed the arrest of Kanchi Shankaracharya on the day of Diwali in a fake made-up case.

I witnessed the disruption of the Durga puja and Kanwar yatra.

I witnessed the murder of devotees in police firing on the day of Durga Puja.

And the list goes on. https://t.co/k0u0DJR0EF"
103,2021-12-26 10:59:53+00:00,@BristiSengupta6 Bengal government had many rules for Durga Puja but it's ok for Christmas.
104,2021-12-26 09:54:40+00:00,@somyaluthra24 Like DurgaPuja in Bengal.
105,2021-12-26 08:50:58+00:00,@TheMehtaji Kabhi kuch nahi mila Christmas mein. Bengali New year mein milta hai aaj tak. Baaki Durga Puja toh hai na..😉
106,2021-12-26 08:27:58+00:00,"@SanjuktaChoudh5 You are wrong about the Christmas crowd in Kolkata's Park Street. This has been our tradition for decades. If you're not from Kolkata, you'll never understand. Christmas is as important for us as Durga Puja. No question of elections here."
107,2021-12-26 08:24:08+00:00,"Last night visuals from Kolkata's Park Street are damn scary

Post the uncontrolled crowd during Durga Puja, there was sharp rise in Covid cases in Kolkata, &amp; to this date, positivity rate in the city still above 5%

Now there's Omicron as well

3rd wave arriving"
108,2021-12-26 08:24:02+00:00,Azaan at Durga Puja Pandals is secularism but Hanuman Chalisa at Xmas event is fascism! Hallelujah! https://t.co/WYDBRQIZso
109,2021-12-26 08:10:04+00:00,"@karanvirsharmaa @AnkitaS47293414 @Shashi25200002 @karanvirsharma9 @Debattama_sah @DebattamaSah Hawwww mere to kab ke jhaadu kat gaye 
Bataya nahi tha kya durga puja ke tym pe hi ab kya katoge aap🤣🤣🤣🤣🤣"
110,2021-12-26 07:45:08+00:00,"During Durga Puja WB Gvt Imposed COVID Restrictions, But During Christmas their is no Restriction.
I hope next time ppl of WB will not blame Central Gvt for the shortage Hospital beds, Oxygen n Medical facilities. WB State Gvt will be RESPONSIBLE,if COVID spread again.#Christmas https://t.co/6znnvFBTUQ"
111,2021-12-26 07:43:46+00:00,@NilanjanDasAITC Coronavirus existed only inside Durga Puja pandals..!!?
112,2021-12-26 07:43:35+00:00,Coronavirus existed only inside Durga Puja pandals..!! https://t.co/8Al84tIyB7
113,2021-12-26 07:11:41+00:00,The people of Bengal showed pride and elation as they celebrate the essence of Bengal once again. #ThanksUNESCO2021 #DurgaPuja #Kolkata https://t.co/FUABzj9bks
114,2021-12-26 07:10:37+00:00,@ShanDas26950489 @pooja_news @rishibagree All you can see is public without police..no covid norms..whereas during Durga Puja and diwali they were followed highly
115,2021-12-26 07:04:55+00:00,@rishibagree @advsanjoy @ReallySwara Ofcourse..we both are from Kolkata..I can share so many pics with you in which Durga Puja is celebrated inside the Church premises
116,2021-12-26 06:17:58+00:00,"@radhacharandas We would try stop Christmas celebrations , saying this is not our festival , but Indians would proudly put pics of America where Durga Puja , Diwali and holi is been celebrated. This is shamelessness of another level."
117,2021-12-26 05:39:47+00:00,"These people will question only ""kumbh"" ,""Durga puja"" and other Hindu religious traditions and believes.  Now the intellectual lobby will find no problem in this unnecessary crowd https://t.co/CO874mBCX7"
118,2021-12-26 05:38:19+00:00,Watch how everyone is delighted at Durga Puja's recognition by UNESCO. #ThanksUNESCO2021 #DurgaPuja https://t.co/yfqwwMT9MG
119,2021-12-26 05:18:53+00:00,"@keyakahe Diwali 😀? What is Diwali to Bengal. Ohh https://t.co/jk5SJpvu5u's from ayi hu UP Bihar loot ne political party. 'Bangal me Durga puja nehi karne deta wala"".currently burning 🔥 .thanks to unesco. Little gray matter will help you get all this. Btw Modi rally at Varanasi??"
120,2021-12-26 05:08:48+00:00,"@EnemySlayer24_7 first i though this is a old picture of a durga puja queue 😐. I too stay in Kolkata and it's true that people spent 25th and 31st in Victoria, cathedral or parkstreet ."
121,2021-12-26 04:53:11+00:00,@pooja_news Even after witnessing huge rise of cases after durga puja the govt made same mistake by easing covid restrictions🤦‍♀️ whom to blame now if again covid cases surges high ?
122,2021-12-26 04:28:07+00:00,"@vichitra_7 @delhichatter only idiots ask for banning fastivals

always remember govt changes.

and then this will happens to us also like durga puja in bangal,

always ask for more freedom not more control."
123,2021-12-26 04:25:30+00:00,@sandy_clicks no covid there  during chirst mas covid only during durga puja
124,2021-12-26 03:49:01+00:00,Since Didi Imposed ban on Durga Puja.. Bengali brothers enjoying alternate https://t.co/1W39aYKdOU
125,2021-12-26 03:48:14+00:00,"@Nidhi @sakshijoshii Because anchors like you,this country will divide again..Why don't you raise voice when durga puja pandals were destroyed in Bangladesh and when mandir and gurudwara gets damage in Pakistan? Why your love is only for one community? We are shameful to have people like you."
126,2021-12-26 03:10:28+00:00,All restrictions during Durga Puja https://t.co/bFikasl6Ju
